"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu689","Zotu689","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","uncultured bacterium",NA,NA,"Zotu689",22.4583333333333
"Zotu69","Zotu69","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","uncultured","uncultured bacterium","Zotu69",96.625
"Zotu691","Zotu691","Bacteria","Verrucomicrobia","Verrucomicrobia Incertae Sedis","Unknown Order","Unknown Family","Candidatus Methylacidiphilum","uncultured bacterium","Zotu691",8.91666666666667
"Zotu693","Zotu693","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured",NA,NA,"Zotu693",15.0833333333333
"Zotu694","Zotu694","Bacteria","Bacteroidetes","SB-5",NA,NA,NA,NA,"Zotu694",20.3333333333333
"Zotu695","Zotu695","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas","uncultured bacterium","Zotu695",29.1666666666667
"Zotu697","Zotu697","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family",NA,NA,"Zotu697",19.3333333333333
"Zotu699","Zotu699","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA,"Zotu699",22.9583333333333
"Zotu7","Zotu7","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae",NA,NA,"Zotu7",210.791666666667
"Zotu70","Zotu70","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu70",68.1666666666667
"Zotu700","Zotu700","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma","uncultured bacterium","Zotu700",32.5416666666667
"Zotu701","Zotu701","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis","uncultured bacterium","Zotu701",13.4166666666667
"Zotu702","Zotu702","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus","uncultured bacterium","Zotu702",24.875
"Zotu703","Zotu703","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","uncultured",NA,"Zotu703",14.5
