"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1608","Zotu1608","Bacteria","Bacteroidetes","BSV13","uncultured bacterium",NA,NA,NA,"Zotu1608",13.4583333333333
"Zotu161","Zotu161","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,"Zotu161",66.75
"Zotu1612","Zotu1612","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1612",7.25
"Zotu16172","Zotu16172","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"Zotu16172",7.70833333333333
"Zotu1625","Zotu1625","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","uncultured bacterium",NA,"Zotu1625",6.75
"Zotu1628","Zotu1628","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured bacterium","Zotu1628",7.54166666666667
"Zotu1629","Zotu1629","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured bacterium","Zotu1629",10.5416666666667
"Zotu1630","Zotu1630","Bacteria","Verrucomicrobia","OPB35 soil group","Unknown Order","Unknown Family","Pedosphaera","Pedosphaera parvula Ellin514","Zotu1630",12.0833333333333
"Zotu1631","Zotu1631","Bacteria","Lentisphaerae","WCHB1-41","uncultured bacterium",NA,NA,NA,"Zotu1631",7.70833333333333
"Zotu1632","Zotu1632","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","uncultured bacterium",NA,"Zotu1632",6
"Zotu1634","Zotu1634","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","GR-WP33-58",NA,NA,"Zotu1634",6.75
"Zotu1639","Zotu1639","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured bacterium","Zotu1639",10
"Zotu1641","Zotu1641","Bacteria","Chloroflexi","uncultured","uncultured bacterium",NA,NA,NA,"Zotu1641",9.25
"Zotu1645","Zotu1645","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu1645",6.20833333333333
"Zotu16478","Zotu16478","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu16478",8.375
"Zotu1649","Zotu1649","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium","Zotu1649",11.6666666666667
"Zotu165","Zotu165","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium","Zotu165",133.041666666667
"Zotu1653","Zotu1653","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium",NA,NA,NA,"Zotu1653",10.625
"Zotu1656","Zotu1656","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured bacterium","Zotu1656",12.625
"Zotu1659","Zotu1659","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1659",7.41666666666667
"Zotu166","Zotu166","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured bacterium","Zotu166",78.3333333333333
"Zotu16621","Zotu16621","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","uncultured bacterium","Zotu16621",36.625
"Zotu1663","Zotu1663","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"Zotu1663",8.66666666666667
"Zotu16645","Zotu16645","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA,"Zotu16645",5.25
"Zotu1666","Zotu1666","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA,"Zotu1666",7.83333333333333
"Zotu1667","Zotu1667","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella","uncultured bacterium","Zotu1667",10.25
"Zotu167","Zotu167","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","uncultured","uncultured bacterium","Zotu167",65.6666666666667
"Zotu1675","Zotu1675","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured delta proteobacterium",NA,NA,"Zotu1675",12.5416666666667
"Zotu1677","Zotu1677","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","uncultured delta proteobacterium",NA,NA,"Zotu1677",10.375
"Zotu16799","Zotu16799","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured bacterium","Zotu16799",9.04166666666667
"Zotu1683","Zotu1683","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","uncultured beta proteobacterium",NA,NA,"Zotu1683",11.8333333333333
"Zotu1688","Zotu1688","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"Zotu1688",9.29166666666667
"Zotu169","Zotu169","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","uncultured","uncultured bacterium","Zotu169",23.25
"Zotu1695","Zotu1695","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae",NA,NA,"Zotu1695",6.54166666666667
"Zotu1696","Zotu1696","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured","uncultured bacterium","Zotu1696",8.29166666666667
"Zotu17","Zotu17","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu17",191.458333333333
"Zotu170","Zotu170","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans",NA,"Zotu170",28.8333333333333
"Zotu1700","Zotu1700","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales",NA,NA,NA,"Zotu1700",13.7916666666667
"Zotu1712","Zotu1712","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","UASB-TL25","uncultured bacterium",NA,"Zotu1712",5.70833333333333
"Zotu1717","Zotu1717","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonas sp.","Zotu1717",7.29166666666667
"Zotu1718","Zotu1718","Bacteria","TA06","uncultured bacterium",NA,NA,NA,NA,"Zotu1718",6.70833333333333
"Zotu1726","Zotu1726","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","uncultured","uncultured bacterium","Zotu1726",5.5
"Zotu173","Zotu173","Bacteria","Bacteroidetes","SB-5","uncultured bacterium",NA,NA,NA,"Zotu173",64.7916666666667
"Zotu1737","Zotu1737","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium",NA,NA,NA,"Zotu1737",6.04166666666667
"Zotu174","Zotu174","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu174",58.7083333333333
"Zotu1740","Zotu1740","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu1740",11.7916666666667
"Zotu1746","Zotu1746","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 9","uncultured bacterium","Zotu1746",5.58333333333333
"Zotu175","Zotu175","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu175",96.2916666666667
"Zotu1756","Zotu1756","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"Zotu1756",12.9583333333333
"Zotu1763","Zotu1763","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)",NA,NA,NA,"Zotu1763",11.625
"Zotu1764","Zotu1764","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Draconibacteriaceae","uncultured","uncultured bacterium","Zotu1764",21.6666666666667
"Zotu1765","Zotu1765","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales",NA,NA,NA,"Zotu1765",14
"Zotu1768","Zotu1768","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured soil bacterium",NA,NA,NA,"Zotu1768",21.25
"Zotu177","Zotu177","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA,"Zotu177",51.125
"Zotu1770","Zotu1770","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 12","uncultured bacterium","Zotu1770",19.9583333333333
"Zotu1771","Zotu1771","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae",NA,NA,"Zotu1771",11
"Zotu1772","Zotu1772","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu1772",12.8333333333333
"Zotu17720","Zotu17720","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"Zotu17720",64.2916666666667
"Zotu1773","Zotu1773","Bacteria","Bacteroidetes","BSV13","uncultured bacterium",NA,NA,NA,"Zotu1773",18.8333333333333
"Zotu1774","Zotu1774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","uncultured bacterium","Zotu1774",8.16666666666667
"Zotu1786","Zotu1786","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured bacterium","Zotu1786",8.04166666666667
"Zotu1787","Zotu1787","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales Incertae Sedis","uncultured",NA,"Zotu1787",6.75
"Zotu1788","Zotu1788","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1788",11.2916666666667
"Zotu1799","Zotu1799","Bacteria","Lentisphaerae","WCHB1-41","uncultured bacterium",NA,NA,NA,"Zotu1799",9.04166666666667
"Zotu1800","Zotu1800","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA,"Zotu1800",7.04166666666667
"Zotu1801","Zotu1801","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA,"Zotu1801",7.25
"Zotu1808","Zotu1808","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured soil bacterium",NA,NA,NA,"Zotu1808",6.91666666666667
"Zotu1809","Zotu1809","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA,"Zotu1809",6.83333333333333
