"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu742","Zotu742","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured bacterium","Zotu742",25.2083333333333
"Zotu745","Zotu745","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium",NA,"Zotu745",22.0416666666667
"Zotu746","Zotu746","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","uncultured delta proteobacterium",NA,NA,"Zotu746",18.8333333333333
"Zotu747","Zotu747","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","uncultured","uncultured bacterium","Zotu747",23.5833333333333
"Zotu749","Zotu749","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured bacterium","Zotu749",20.9583333333333
"Zotu750","Zotu750","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family","Bryobacter","uncultured bacterium","Zotu750",19.625
"Zotu751","Zotu751","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","uncultured","uncultured bacterium","Zotu751",27.5833333333333
"Zotu752","Zotu752","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,"Zotu752",29.3333333333333
"Zotu755","Zotu755","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophus","uncultured bacterium","Zotu755",21.75
"Zotu7563","Zotu7563","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria Incertae Sedis","Syntrophorhabdaceae","Syntrophorhabdus","uncultured bacterium","Zotu7563",45.5833333333333
"Zotu757","Zotu757","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu757",19.9166666666667
"Zotu758","Zotu758","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 12","uncultured bacterium","Zotu758",16
"Zotu759","Zotu759","Bacteria","Proteobacteria","Deltaproteobacteria","43F-1404R","uncultured Syntrophaceae bacterium",NA,NA,"Zotu759",29.0833333333333
"Zotu760","Zotu760","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured bacterium","Zotu760",35.9583333333333
"Zotu766","Zotu766","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu766",20.75
"Zotu767","Zotu767","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","uncultured beta proteobacterium",NA,NA,"Zotu767",24.8333333333333
"Zotu77","Zotu77","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA,"Zotu77",226.416666666667
"Zotu774","Zotu774","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","uncultured bacterium","Zotu774",21.4166666666667
"Zotu775","Zotu775","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Sporacetigenium",NA,"Zotu775",45.9166666666667
"Zotu776","Zotu776","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA,"Zotu776",27.7916666666667
"Zotu777","Zotu777","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophus","uncultured bacterium","Zotu777",25.9166666666667
"Zotu778","Zotu778","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","uncultured","uncultured bacterium","Zotu778",19.4583333333333
