Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu87,Zotu87,,other,1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,NA,NA,Zotu87,0.000347,11
Zotu873,Zotu873,,other,1,Bacteria,Bacteroidetes,SB-5,NA,NA,NA,NA,Zotu873,0.000276,11
Zotu876,Zotu876,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,NA,NA,Zotu876,0.000854,25
Zotu8781,Zotu8781,,other,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,uncultured soil bacterium,Zotu8781,0.000215,4
Zotu88,Zotu88,,other,1,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,BSV26,NA,NA,Zotu88,0.000177,11
Zotu163,Zotu163,,other,1,Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,NA,NA,NA,Zotu163,0.000179,11
Zotu884,Zotu884,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,NA,Zotu884,0.000102,11
Zotu660,Zotu660,,other,1,Bacteria,Acidobacteria,Holophagae,Subgroup 7,uncultured bacterium,NA,NA,Zotu660,0.000148,11
Zotu899,Zotu899,,other,3,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA,Zotu899,0.000193,13
Zotu9,Zotu9,,diff,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu9,0.015695,12
Zotu902,Zotu902,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured bacterium,Zotu902,0.000213,27
Zotu1417,Zotu1417,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu1417,0.000122,27
Zotu447,Zotu447,,other,5,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII,Acidaminobacter,uncultured bacterium,Zotu447,0.00033,27
Zotu9076,Zotu9076,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter,NA,Zotu9076,0.000198,5
Zotu92,Zotu92,,other,3,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Leptospiraceae,Turneriella,uncultured organism,Zotu92,0.001809,13
Zotu1476,Zotu1476,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,NA,Zotu1476,0.000114,13
