Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu16255,Zotu16255,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA,Zotu16255,0.000196,5
Zotu1642,Zotu1642,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,uncultured bacterium,NA,Zotu1642,0.000117,13
Zotu16462,Zotu16462,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu16462,0.000147,1
Zotu16601,Zotu16601,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,NA,NA,Zotu16601,0.00116,5
Zotu16602,Zotu16602,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu16602,0.000361,5
Zotu16621,Zotu16621,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,uncultured bacterium,Zotu16621,0.001285,5
Zotu16859,Zotu16859,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured bacterium,Zotu16859,0.000108,1
Zotu17,Zotu17,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu17,0.013732,13
Zotu1227,Zotu1227,,other,3,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,NA,Zotu1227,0.00019,13
Zotu170,Zotu170,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu170,0.001535,9
Zotu12,Zotu12,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured bacterium,Zotu12,0.020838,9
Zotu178,Zotu178,,other,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,uncultured bacterium,NA,Zotu178,0.000145,11
Zotu1783,Zotu1783,,other,4,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,NA,NA,Zotu1783,0.000138,4
Zotu179,Zotu179,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured soil bacterium,NA,Zotu179,0.001832,5
Zotu19,Zotu19,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu19,0.010827,8
Zotu127,Zotu127,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu127,0.001943,8
Zotu191,Zotu191,,diff,3,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,NA,Zotu191,0.000897,13
Zotu1929,Zotu1929,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu1929,0.000177,4
Zotu193,Zotu193,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia Incertae Sedis,Prolixibacteraceae,Prolixibacter,uncultured bacterium,Zotu193,0.000983,13
Zotu1147,Zotu1147,,other,1,Bacteria,Bacteroidetes,SB-5,uncultured bacterium,NA,NA,NA,Zotu1147,0.000177,13
Zotu195,Zotu195,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Byssovorax,uncultured bacterium,Zotu195,0.001058,13
Zotu1276,Zotu1276,,other,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,uncultured bacterium,Zotu1276,0.000128,13
Zotu1983,Zotu1983,,other,5,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,Zotu1983,0.000188,5
Zotu2,Zotu2,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu2,0.091873,5
Zotu200,Zotu200,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu200,0.001389,4
Zotu209,Zotu209,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu209,0.001341,9
Zotu103,Zotu103,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu103,0.005377,9
Zotu21,Zotu21,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu21,0.008217,10
Zotu181,Zotu181,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured bacterium,NA,Zotu181,0.001603,10
Zotu210,Zotu210,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu210,0.002706,3
Zotu211,Zotu211,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,uncultured bacterium,Zotu211,0.000372,11
Zotu215,Zotu215,,other,3,Bacteria,Bacteroidetes,SB-5,NA,NA,NA,NA,Zotu215,0.001031,13
Zotu2150,Zotu2150,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured beta proteobacterium,Zotu2150,0.000216,5
Zotu2162,Zotu2162,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,uncultured bacterium,Zotu2162,0.000112,21
Zotu17720,Zotu17720,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,NA,NA,Zotu17720,0.001013,21
Zotu219,Zotu219,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu219,0.000152,11
Zotu222,Zotu222,,other,1,Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,NA,NA,NA,Zotu222,0.000135,11
Zotu2221,Zotu2221,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,uncultured bacterium,Zotu2221,0.00014,1
Zotu226,Zotu226,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,uncultured bacterium,Zotu226,0.000242,11
Zotu228,Zotu228,,other,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,uncultured bacterium,NA,Zotu228,0.000109,11
Zotu23,Zotu23,,other,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,Zotu23,0.00938,22
Zotu231,Zotu231,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,NA,Zotu231,0.001333,4
Zotu238,Zotu238,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,BVA59,uncultured bacterium,NA,Zotu238,0.000181,11
Zotu239,Zotu239,,other,5,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,Zotu239,0.001019,25
Zotu2490,Zotu2490,,other,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu2490,0.000134,22
Zotu256,Zotu256,,other,1,Bacteria,Chloroflexi,uncultured,uncultured bacterium,NA,NA,NA,Zotu256,0.000164,11
Zotu257,Zotu257,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,NA,NA,NA,Zotu257,0.000337,13
Zotu1527,Zotu1527,,other,3,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,uncultured,uncultured bacterium,Zotu1527,0.000138,13
Zotu259,Zotu259,,other,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA,Zotu259,0.000183,11
Zotu26,Zotu26,,other,1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalispira,uncultured bacterium,Zotu26,0.000584,11
Zotu265,Zotu265,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,43F-1404R,uncultured Syntrophaceae bacterium,NA,NA,Zotu265,0.000125,11
Zotu267,Zotu267,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu267,0.000396,11
Zotu270,Zotu270,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu270,0.000107,11
Zotu2720,Zotu2720,,other,4,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,uncultured bacterium,Zotu2720,0.000443,4
Zotu29,Zotu29,,other,1,Bacteria,Bacteroidetes,WCHB1-32,uncultured bacterium,NA,NA,NA,Zotu29,0.004626,11
Zotu208,Zotu208,,other,1,Bacteria,Bacteroidetes,WCHB1-32,uncultured bacterium,NA,NA,NA,Zotu208,0.000947,11
Zotu290,Zotu290,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu290,0.000702,13
Zotu293,Zotu293,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,NA,Zotu293,0.000603,13
Zotu297,Zotu297,,diff,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured bacterium,Zotu297,0.000476,18
Zotu182,Zotu182,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured bacterium,Zotu182,0.000572,18
Zotu3,Zotu3,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu3,0.039805,10
Zotu300,Zotu300,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,uncultured Hyphomicrobiaceae bacterium,Zotu300,0.000172,11
Zotu302,Zotu302,,other,4,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured bacterium,Zotu302,0.000822,21
Zotu306,Zotu306,,other,1,Bacteria,Verrucomicrobia,OPB35 soil group,uncultured soil bacterium,NA,NA,NA,Zotu306,0.000185,11
Zotu307,Zotu307,,other,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,uncultured bacterium,Zotu307,0.000115,11
Zotu3087,Zotu3087,,diff,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu3087,0.000108,21
Zotu32,Zotu32,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,43F-1404R,uncultured bacterium,NA,NA,Zotu32,0.00043,11
Zotu323,Zotu323,,diff,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA,Zotu323,0.000484,12
Zotu142,Zotu142,,diff,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,NA,Zotu142,0.001051,12
Zotu325,Zotu325,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu325,0.002006,25
Zotu327,Zotu327,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,uncultured,uncultured bacterium,Zotu327,0.000572,11
Zotu33,Zotu33,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,Musa ABB Group,Zotu33,0.0065,4
Zotu174,Zotu174,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu174,0.002035,4
Zotu330,Zotu330,,other,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,NA,Zotu330,0.00019,11
Zotu244,Zotu244,,other,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,NA,Zotu244,0.000275,11
Zotu334,Zotu334,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu334,0.000442,18
Zotu129,Zotu129,,diff,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured bacterium,Zotu129,0.001277,18
Zotu344,Zotu344,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu344,0.001905,5
Zotu2480,Zotu2480,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,M20-Pitesti,NA,NA,Zotu2480,0.00011,11
Zotu347,Zotu347,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales Incertae Sedis,Reyranella,uncultured bacterium,Zotu347,0.000129,11
Zotu367,Zotu367,,other,3,Bacteria,Bacteroidetes,SB-5,NA,NA,NA,NA,Zotu367,0.000677,13
Zotu37,Zotu37,,other,1,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Leptospiraceae,uncultured,NA,Zotu37,0.005424,11
Zotu115,Zotu115,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu115,0.001511,11
Zotu377,Zotu377,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,NA,Zotu377,0.000414,14
Zotu285,Zotu285,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,uncultured,uncultured bacterium,Zotu285,0.000497,14
Zotu38,Zotu38,,diff,0,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,uncultured,uncultured bacterium,Zotu38,0.003693,15
Zotu248,Zotu248,,other,0,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,uncultured,uncultured bacterium,Zotu248,0.000661,15
Zotu384,Zotu384,,other,1,Bacteria,Acidobacteria,Holophagae,Subgroup 7,uncultured bacterium,NA,NA,Zotu384,0.000299,11
Zotu388,Zotu388,,other,1,Bacteria,Chloroflexi,uncultured,NA,NA,NA,NA,Zotu388,0.000178,11
Zotu393,Zotu393,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Polyangium,uncultured bacterium,Zotu393,0.000211,13
Zotu396,Zotu396,,other,5,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured bacterium,Zotu396,0.000299,16
Zotu1117,Zotu1117,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu1117,0.000248,16
Zotu397,Zotu397,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured,uncultured bacterium,Zotu397,0.000319,13
Zotu4,Zotu4,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,uncultured bacterium,Zotu4,0.002435,11
Zotu406,Zotu406,,other,5,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,Zotu406,0.000595,25
Zotu417,Zotu417,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,BAL58 marine group,NA,Zotu417,0.000247,25
Zotu1029,Zotu1029,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu1029,0.000275,25
Zotu42,Zotu42,,other,1,Bacteria,Bacteroidetes,Bacteroidetes vadinHA17,NA,NA,NA,NA,Zotu42,0.000593,11
Zotu430,Zotu430,,other,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu430,0.000298,16
Zotu432,Zotu432,,other,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,NA,Zotu432,0.000128,11
Zotu435,Zotu435,,other,5,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,Zotu435,0.000728,5
Zotu44,Zotu44,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu44,0.006518,17
Zotu30,Zotu30,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu30,0.008681,17
Zotu444,Zotu444,,other,0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,NA,Zotu444,0.000748,25
Zotu446,Zotu446,,other,1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,uncultured bacterium,Zotu446,0.000463,20
Zotu1553,Zotu1553,,other,1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,uncultured bacterium,Zotu1553,0.000106,20
Zotu216,Zotu216,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Zotu216,0.000174,20
Zotu45,Zotu45,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu45,0.002077,5
Zotu456,Zotu456,,other,1,Bacteria,Acidobacteria,Holophagae,Subgroup 10,ABS-19,uncultured prokaryote,NA,Zotu456,0.000117,11
Zotu4621,Zotu4621,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu4621,0.000503,13
Zotu465,Zotu465,,other,1,Bacteria,Bacteroidetes,WCHB1-32,uncultured bacterium,NA,NA,NA,Zotu465,0.000335,11
Zotu466,Zotu466,,diff,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,uncultured bacterium,Zotu466,0.000495,13
Zotu476,Zotu476,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu476,0.001706,5
Zotu4790,Zotu4790,,other,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,uncultured bacterium,Zotu4790,0.000347,4
Zotu48,Zotu48,,other,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,NA,Zotu48,0.001257,11
Zotu480,Zotu480,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu480,0.002751,9
Zotu485,Zotu485,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,uncultured,uncultured bacterium,Zotu485,0.000308,13
Zotu493,Zotu493,,other,1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,uncultured,uncultured bacterium,Zotu493,0.000102,11
Zotu499,Zotu499,,other,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,NA,Zotu499,0.000458,13
Zotu5,Zotu5,,other,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,NA,Zotu5,0.000452,13
Zotu507,Zotu507,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,NA,NA,Zotu507,0.00051,13
Zotu183,Zotu183,,other,1,Bacteria,Planctomycetes,vadinHA49,uncultured bacterium,NA,NA,NA,Zotu183,0.001187,13
Zotu51,Zotu51,,diff,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu51,0.003766,18
Zotu1359,Zotu1359,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu1359,0.000185,18
Zotu511,Zotu511,,other,1,Bacteria,Bacteroidetes,SB-5,NA,NA,NA,NA,Zotu511,0.000537,13
Zotu431,Zotu431,,other,1,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta 2,NA,Zotu431,0.000438,13
Zotu512,Zotu512,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,NA,Zotu512,0.000694,4
Zotu517,Zotu517,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,NA,NA,Zotu517,0.00034,13
Zotu52,Zotu52,,diff,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,uncultured bacterium,Zotu52,0.005146,19
Zotu473,Zotu473,,other,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA,Zotu473,0.000566,19
Zotu522,Zotu522,,other,1,Bacteria,Bacteroidetes,Bacteroidetes BD2-2,NA,NA,NA,NA,Zotu522,0.000467,11
Zotu527,Zotu527,,other,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas psychrotolerans,Zotu527,0.000615,3
Zotu533,Zotu533,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu533,0.000359,13
Zotu54,Zotu54,,other,1,Bacteria,Bacteroidetes,Bacteroidetes vadinHA17,uncultured bacterium,NA,NA,NA,Zotu54,0.000276,11
Zotu53,Zotu53,,other,1,Bacteria,Bacteroidetes,Bacteroidetes vadinHA17,uncultured bacterium,NA,NA,NA,Zotu53,0.000272,11
Zotu542,Zotu542,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Denitratisoma,uncultured bacterium,Zotu542,0.000773,1
Zotu546,Zotu546,,other,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mobilitalea,uncultured bacterium,Zotu546,0.000274,11
Zotu1198,Zotu1198,,other,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mobilitalea,uncultured bacterium,Zotu1198,0.000122,11
Zotu547,Zotu547,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales Incertae Sedis,Reyranella,uncultured bacterium,Zotu547,0.000106,11
Zotu565,Zotu565,,other,1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,uncultured bacterium,Zotu565,0.000338,20
Zotu5776,Zotu5776,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu5776,0.000168,21
Zotu58,Zotu58,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA,Zotu58,0.001084,11
Zotu581,Zotu581,,other,4,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,uncultured bacterium,Zotu581,0.00024,4
Zotu582,Zotu582,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu582,0.000169,20
Zotu585,Zotu585,,diff,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured bacterium,Zotu585,0.000358,15
Zotu593,Zotu593,,other,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu593,0.000569,22
Zotu5941,Zotu5941,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,M20-Pitesti,NA,NA,Zotu5941,0.000214,11
Zotu5944,Zotu5944,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,uncultured bacterium,Zotu5944,0.000186,1
Zotu6,Zotu6,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu6,0.027458,13
Zotu602,Zotu602,,other,1,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,M2PT2-76 termite group,NA,Zotu602,0.000382,13
Zotu606,Zotu606,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA,Zotu606,0.000277,13
Zotu609,Zotu609,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu609,0.000146,13
Zotu61,Zotu61,,other,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,uncultured,NA,Zotu61,0.001283,13
Zotu615,Zotu615,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,uncultured beta proteobacterium,Zotu615,0.000429,4
Zotu619,Zotu619,,other,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,Zotu619,0.001248,22
Zotu620,Zotu620,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured bacterium,NA,Zotu620,0.000266,13
Zotu6206,Zotu6206,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,uncultured,uncultured bacterium,Zotu6206,0.00036,11
Zotu125,Zotu125,,other,1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalispira,uncultured bacterium,Zotu125,0.000127,11
Zotu625,Zotu625,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,uncultured bacterium,Zotu625,0.000133,11
Zotu631,Zotu631,,other,0,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,NA,NA,NA,Zotu631,0.000176,23
Zotu558,Zotu558,,other,0,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,uncultured bacterium,Zotu558,0.000204,23
Zotu638,Zotu638,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured bacterium,Zotu638,0.000396,13
Zotu639,Zotu639,,other,2,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu639,0.000962,25
Zotu6401,Zotu6401,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,uncultured,uncultured bacterium,Zotu6401,0.000133,5
Zotu650,Zotu650,,other,3,Bacteria,Planctomycetes,vadinHA49,uncultured bacterium,NA,NA,NA,Zotu650,0.000245,13
