SampleID	Experiment	Timepoint	Variety	Compartment	Treatment	Sample
E2_NRS_Int1_2	Exp2	day1	NIP	Rhizosphere	Intact	E2_NRS_Int1
E2_NRS_Int1_3	Exp2	day1	NIP	Rhizosphere	Intact	E2_NRS_Int1
E2_NRS_Def1_1	Exp2	day1	NIP	Rhizosphere	Defoliation	E2_NRS_Def1
E2_NRS_Def1_2	Exp2	day1	NIP	Rhizosphere	Defoliation	E2_NRS_Def1
E2_NRS_Def1_3	Exp2	day1	NIP	Rhizosphere	Defoliation	E2_NRS_Def1
E2_NRS_Int2_1	Exp2	day2	NIP	Rhizosphere	Intact	E2_NRS_Int2
E2_NRS_Int2_2	Exp2	day2	NIP	Rhizosphere	Intact	E2_NRS_Int2
E2_NRS_Int2_3	Exp2	day2	NIP	Rhizosphere	Intact	E2_NRS_Int2
E2_NRS_Def2_1	Exp2	day2	NIP	Rhizosphere	Defoliation	E2_NRS_Def2
E2_NRS_Def2_2	Exp2	day2	NIP	Rhizosphere	Defoliation	E2_NRS_Def2
E2_NRS_Def2_3	Exp2	day2	NIP	Rhizosphere	Defoliation	E2_NRS_Def2
E2_NRS_Int3_1	Exp2	day3	NIP	Rhizosphere	Intact	E2_NRS_Int3
E2_NRS_Int3_2	Exp2	day3	NIP	Rhizosphere	Intact	E2_NRS_Int3
E2_NRS_Int3_3	Exp2	day3	NIP	Rhizosphere	Intact	E2_NRS_Int3
E2_NRS_Def3_1	Exp2	day3	NIP	Rhizosphere	Defoliation	E2_NRS_Def3
E2_NRS_Def3_2	Exp2	day3	NIP	Rhizosphere	Defoliation	E2_NRS_Def3
E2_NRS_Def3_3	Exp2	day3	NIP	Rhizosphere	Defoliation	E2_NRS_Def3
E2_NRS_Int4_1	Exp2	day4	NIP	Rhizosphere	Intact	E2_NRS_Int4
E2_NRS_Int4_2	Exp2	day4	NIP	Rhizosphere	Intact	E2_NRS_Int4
E2_NRS_Int4_3	Exp2	day4	NIP	Rhizosphere	Intact	E2_NRS_Int4
E2_NRS_Def4_1	Exp2	day4	NIP	Rhizosphere	Defoliation	E2_NRS_Def4
E2_NRS_Def4_2	Exp2	day4	NIP	Rhizosphere	Defoliation	E2_NRS_Def4
E2_NRS_Def4_3	Exp2	day4	NIP	Rhizosphere	Defoliation	E2_NRS_Def4
E2_NRS_Int5_1	Exp2	day5	NIP	Rhizosphere	Intact	E2_NRS_Int5
E2_NRS_Int5_2	Exp2	day5	NIP	Rhizosphere	Intact	E2_NRS_Int5
E2_NRS_Int5_3	Exp2	day5	NIP	Rhizosphere	Intact	E2_NRS_Int5
E2_NRS_Def5_1	Exp2	day5	NIP	Rhizosphere	Defoliation	E2_NRS_Def5
E2_NRS_Def5_2	Exp2	day5	NIP	Rhizosphere	Defoliation	E2_NRS_Def5
E2_NRS_Def5_3	Exp2	day5	NIP	Rhizosphere	Defoliation	E2_NRS_Def5
