"","logFC","logCPM","F","PValue","fdr","Experiment","Compartment","Variety","rel.TP1","rel.TP2","rel.TP3","rel.TP4","rel.Intact","rel.Defoliation","module_name"
"module_other",0.0785043867817467,18.7591825973399,1.00724692372656,0.323570999799074,0.494564544891895,"Exp1","Rhizosphere","NIP",30363.8333333333,21083.8333333333,12120,11396.8333333333,20098,17384.25,"module_other"
"module13",0.29621590151418,15.7965484296507,4.75947163943319,0.0370863346147995,0.133510804613278,"Exp1","Rhizosphere","NIP",3675,2989.33333333333,1639.33333333333,1307.5,2459.33333333333,2346.25,"module13"
"module11",0.0709350528170409,18.2522104048417,0.272322590958629,0.605600732101801,0.726720878522161,"Exp1","Rhizosphere","NIP",20135.5,13887.8333333333,9011,8414.66666666667,13390.4166666667,12334.0833333333,"module11"
"module9",0.299716949108603,15.2342039913375,4.81218855288948,0.0361250770892052,0.133510804613278,"Exp1","Rhizosphere","NIP",2514.5,1898.83333333333,1069.83333333333,1009.83333333333,1645.75,1600.75,"module9"
"module3",0.17998087430762,12.3760920599532,0.97176042094055,0.332106936409973,0.494564544891895,"Exp1","Rhizosphere","NIP",441.333333333333,361,117.166666666667,71.8333333333333,275.916666666667,219.75,"module3"
"module14",-0.24585720140899,15.2569461539078,2.19305083701676,0.149036850363226,0.379363416337245,"Exp1","Rhizosphere","NIP",2397.16666666667,1375.83333333333,1132.16666666667,1227.83333333333,1736.5,1330,"module14"
"module12",-0.129067424235758,13.7090758613933,0.555081561006217,0.462032235965605,0.616042981287473,"Exp1","Rhizosphere","NIP",753.666666666667,475.833333333333,457,396.5,576.166666666667,465.333333333333,"module12"
"module1",0.186828253193073,12.6250234492949,0.420153403009452,0.521779421461471,0.670859256164749,"Exp1","Rhizosphere","NIP",360.833333333333,542.166666666667,124.166666666667,87.8333333333333,282.583333333333,274.916666666667,"module1"
"module0",0.728900833902829,12.3160794172543,16.7728722616581,0.000292509731067158,0.00481284223993895,"Exp1","Rhizosphere","NIP",425.166666666667,407.166666666667,84.3333333333333,71.1666666666667,250.583333333333,243.333333333333,"module0"
"module2",0.845769834764931,12.8604264760153,11.6770515491451,0.00183475277763668,0.0132102199989841,"Exp1","Rhizosphere","NIP",493.333333333333,485.666666666667,138,214.5,317.25,348.5,"module2"
"module18",0.202075787834088,13.4127302213844,1.56744892466947,0.220228377588615,0.44045675517723,"Exp1","Rhizosphere","NIP",1081.83333333333,479.333333333333,273.333333333333,187.5,544.666666666667,466.333333333333,"module18"
"module22",-0.19490798621797,12.0169142713484,0.776508436960368,0.385200029576173,0.53335388710547,"Exp1","Rhizosphere","NIP",259.833333333333,152,126.333333333333,113.666666666667,186.666666666667,139.25,"module22"
"module4",-0.918065389385476,7.39812980120376,6.03406423980028,0.020022954327981,0.10297519368676,"Exp1","Rhizosphere","NIP",14.8333333333333,5.5,2,1.66666666666667,8.83333333333333,3.16666666666667,"module4"
"module5",0.0435829409186613,8.41345034117448,0.0274311648399893,0.869561649556955,0.920712334825011,"Exp1","Rhizosphere","NIP",21.8333333333333,22,4.5,5.33333333333333,15.3333333333333,11.5,"module5"
"module6",-0.688827378753906,9.6973101393506,7.27719547420358,0.0113375461379748,0.0680252768278486,"Exp1","Rhizosphere","NIP",46.3333333333333,28.1666666666667,23.3333333333333,24.5,38,23.1666666666667,"module6"
"module7",-0.452263300942079,7.63579663309289,1.20342472551399,0.281345242262117,0.482306129592201,"Exp1","Rhizosphere","NIP",9.16666666666667,5.83333333333333,6.33333333333333,4.33333333333333,7.91666666666667,4.91666666666667,"module7"
"module8",0.214897284895271,13.3804529068728,1.98996355676251,0.168605962816553,0.379363416337245,"Exp1","Rhizosphere","NIP",736.5,571.5,262.5,258.5,478.666666666667,435.833333333333,"module8"
"module10",-0.154066324039131,8.64799147876675,0.188145145451259,0.66756085650753,0.775231962395841,"Exp1","Rhizosphere","NIP",36.1666666666667,15.6666666666667,7.66666666666667,6.66666666666667,18.25,14.8333333333333,"module10"
"module15",-0.0478856255963578,10.1699209778002,0.0555919816123393,0.815202172777458,0.889311461211772,"Exp1","Rhizosphere","NIP",100.833333333333,54.5,24,22.6666666666667,57.0833333333333,43.9166666666667,"module15"
"module24",0.205619455908027,11.930887384102,1.75974225647515,0.194643058853191,0.412185301100875,"Exp1","Rhizosphere","NIP",317.833333333333,165.666666666667,115,78,178.583333333333,159.666666666667,"module24"
"module30",0.743783665587411,12.9852390780843,16.075359711745,0.000370870914085732,0.00481284223993895,"Exp1","Rhizosphere","NIP",421.833333333333,518.166666666667,201.5,249,310.666666666667,384.583333333333,"module30"
"module16",0.149896827536018,12.8542050813469,0.930525762661172,0.342420028512185,0.494564544891895,"Exp1","Rhizosphere","NIP",609.833333333333,459.166666666667,145.166666666667,143.5,375.916666666667,302.916666666667,"module16"
"module17",0.0916060150663233,10.821245123802,0.372425858916595,0.546269527602165,0.67812768943717,"Exp1","Rhizosphere","NIP",135.5,103.666666666667,40.3333333333333,39.1666666666667,89.4166666666667,69.9166666666667,"module17"
"module33",0.4941139227718,10.0689120641931,4.92971617491479,0.0340795215075744,0.133510804613278,"Exp1","Rhizosphere","NIP",70,53.6666666666667,29.6666666666667,20.5,40.8333333333333,46.0833333333333,"module33"
"module19",-0.700878108862545,11.8706011350325,15.0421978123585,0.000531136482159667,0.00481284223993895,"Exp1","Rhizosphere","NIP",245.333333333333,161.166666666667,111.5,100,200.666666666667,108.333333333333,"module19"
"module20",0.81793451359392,7.34313429084919,2.80053289643409,0.104605454710479,0.289676643813633,"Exp1","Rhizosphere","NIP",11.8333333333333,6.16666666666667,2,1.5,4.58333333333333,6.16666666666667,"module20"
"module21",0.105841341159926,11.3365938831154,0.147168212098029,0.703955233493775,0.791949637680497,"Exp1","Rhizosphere","NIP",289.833333333333,130.5,45.1666666666667,51.5,152.666666666667,105.833333333333,"module21"
"module23",0.010339394707279,9.63481483353736,0.00267607470130685,0.959085305036617,0.959085305036617,"Exp1","Rhizosphere","NIP",55.3333333333333,38.3333333333333,22.5,15.3333333333333,36,29.75,"module23"
