"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1726","Zotu1726","diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","uncultured","uncultured bacterium","Zotu1726",0.000136999484616405
"Zotu173","Zotu173","other","Bacteria","Bacteroidetes","SB-5","uncultured bacterium",NA,NA,NA,"Zotu173",0.00100283122380288
"Zotu1737","Zotu1737","other","Bacteria","Acidobacteria","Subgroup 22","uncultured bacterium",NA,NA,NA,"Zotu1737",0.000113312471816728
"Zotu174","Zotu174","diff","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu174",0.000624470573372272
"Zotu1747","Zotu1747","other","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geothermobacter",NA,"Zotu1747",0.000154018222902592
"Zotu1756","Zotu1756","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,"Zotu1756",0.000201924830905364
"Zotu1764","Zotu1764","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Draconibacteriaceae","uncultured","uncultured bacterium","Zotu1764",0.000183873302829355
"Zotu177","Zotu177","diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA,"Zotu177",0.000912182795814694
"Zotu1770","Zotu1770","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 12","uncultured bacterium","Zotu1770",0.000342129151731669
"Zotu17720","Zotu17720","diff","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,"Zotu17720",0.000514431273387878
"Zotu1773","Zotu1773","other","Bacteria","Bacteroidetes","BSV13","uncultured bacterium",NA,NA,NA,"Zotu1773",0.00016882831798852
"Zotu1774","Zotu1774","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","uncultured bacterium","Zotu1774",0.000114873455024073
"Zotu178","Zotu178","other","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu178",0.00146571141040583
"Zotu1788","Zotu1788","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1788",0.000183421402485662
"Zotu1792","Zotu1792","other","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","uncultured","uncultured actinobacterium","Zotu1792",0.000101423336558128
"Zotu1801","Zotu1801","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA,"Zotu1801",0.000122737183525227
"Zotu1809","Zotu1809","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA,"Zotu1809",0.000132241277278833
"Zotu181","Zotu181","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","uncultured bacterium",NA,"Zotu181",0.000770323193560073
"Zotu1816","Zotu1816","other","Bacteria","Verrucomicrobia","OPB35 soil group",NA,NA,NA,NA,"Zotu1816",0.000139765612245302
"Zotu182","Zotu182","diff","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","uncultured bacterium","Zotu182",0.00199944549521316
"Zotu1824","Zotu1824","diff","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1",NA,"Zotu1824",0.000169256949278823
"Zotu1830","Zotu1830","other","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas",NA,"Zotu1830",0.000118104393883927
"Zotu1832","Zotu1832","diff","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1832",0.000112854609542638
"Zotu1836","Zotu1836","other","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1836",0.000108163963190962
"Zotu1856","Zotu1856","other","Bacteria","Planctomycetes","Pla3 lineage","uncultured bacterium",NA,NA,NA,"Zotu1856",0.000113150959133809
"Zotu187","Zotu187","other","Bacteria","Bacteroidetes","Bacteroidetes BD2-2","uncultured bacterium",NA,NA,NA,"Zotu187",0.000577920366822975
"Zotu1871","Zotu1871","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","uncultured bacterium","Zotu1871",0.000119060399913737
"Zotu1874","Zotu1874","other","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncultured","uncultured bacterium","Zotu1874",0.000275738068879638
"Zotu1888","Zotu1888","other","Bacteria","Lentisphaerae","DEV055",NA,NA,NA,NA,"Zotu1888",0.000102366763085199
"Zotu19","Zotu19","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu19",0.00436241012792165
"Zotu1901","Zotu1901","diff","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","uncultured",NA,"Zotu1901",0.000186131894336565
"Zotu1906","Zotu1906","other","Bacteria","Candidate division OP3","uncultured bacterium",NA,NA,NA,NA,"Zotu1906",0.000117304946761905
"Zotu1908","Zotu1908","other","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Zotu1908",0.000100735316841265
"Zotu1912","Zotu1912","other","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family","Bryobacter","uncultured bacterium","Zotu1912",0.000212854127859074
"Zotu192","Zotu192","other","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu192",0.00112335052348648
